"Rank","Player","ATT","YDS","Y/A","LG","20+","TD","REC","TGT","YDS","Y/R","TD","FL","G","FPTS","FPTS/G","OWN"
"67","Dion Lewis (FA)","54","209","3.9","17","0","0","25","32","164","6.6","1","1","16","53.8","3.4","0.1%"
"68","Giovani Bernard (TB)","53","170","3.2","25","1","0","30","43","234","7.8","0","1","16","53.4","3.3","7.1%"
"69","Jordan Wilkins (IND)","51","307","6.0","55","2","2","7","11","43","6.1","0","0","14","50.5","3.6","0.2%"
"70","Mike Boone (DEN)","49","273","5.6","59","3","3","3","4","17","5.7","0","0","16","48.5","3.0","0.4%"
"71","Ty Johnson (NYJ)","63","273","4.3","40","1","0","24","31","109","4.5","0","1","16","48.2","3.0","2.4%"
"72","Brandon Bolden (NE)","15","68","4.5","21","1","3","9","11","111","12.3","1","0","15","46.4","3.1","0.0%"
"73","Justice Hill (BAL)","58","225","3.9","18","0","2","8","15","70","8.8","0","0","16","45.5","2.8","0.5%"
"74","Jeff Wilson Jr. (SF)","27","105","3.9","25","1","4","3","5","34","11.3","1","0","11","45.4","4.1","4.6%"
"75","Kalen Ballage (PIT)","74","135","1.8","8","0","3","14","24","63","4.5","0","0","12","44.8","3.7","0.3%"
"76","Ryquell Armstead (FA)","35","108","3.1","16","0","0","14","24","144","10.3","2","0","16","44.2","2.8","0.1%"
"77","Bo Scarbrough (FA)","89","377","4.2","30","2","1","1","4","5","5.0","0","1","6","42.7","7.1","0.0%"
"78","Wayne Gallman (SF)","29","110","3.8","22","1","2","11","16","102","9.3","1","1","10","42.7","4.3","2.9%"
"79","Kyle Juszczyk (SF)","3","7","2.3","6","0","0","20","24","239","12.0","1","0","12","40.6","3.4","1.1%"
"80","Jonathan Williams (WAS)","49","235","4.8","48","1","1","5","5","59","11.8","0","0","9","37.9","4.2","0.0%"
"81","Mark Walton (FA)","53","201","3.8","19","0","0","15","21","89","5.9","0","1","7","34.5","4.9","0.0%"
"82","Dontrell Hilliard (HOU)","13","49","3.8","11","0","2","12","15","92","7.7","0","0","14","32.1","2.3","0.0%"
"83","Ameer Abdullah (MIN)","23","115","5.0","15","0","0","15","21","88","5.9","1","1","16","31.8","2.0","0.6%"
"84","Ito Smith (FA)","22","106","4.8","28","1","1","11","14","87","7.9","0","0","7","30.8","4.4","0.5%"
"85","Qadree Ollison (ATL)","22","50","2.3","6","0","4","1","2","7","7.0","0","0","8","30.2","3.8","1.3%"
"86","Bilal Powell (FA)","59","229","3.9","17","0","0","7","12","33","4.7","0","0","14","29.7","2.1","0.0%"
"87","C.J. Ham (MIN)","7","17","2.4","9","0","0","17","26","149","8.8","1","1","16","29.1","1.8","0.1%"
"88","Myles Gaskin (MIA)","36","133","3.7","27","1","1","7","12","51","7.3","0","0","7","27.9","4.0","93.8%"
"89","Darwin Thompson (KC)","37","128","3.5","12","0","1","9","10","43","4.8","0","0","12","27.6","2.3","0.2%"
"90","Justin Jackson (LAC)","29","200","6.9","40","3","0","9","11","22","2.4","0","0","7","26.7","3.8","3.0%"
"91","Reggie Bonnafon (CAR)","16","116","7.3","59","1","1","6","10","57","9.5","0","0","16","26.3","1.6","0.1%"
"92","Ty Montgomery (NO)","32","103","3.2","15","0","0","13","17","90","6.9","0","0","16","25.8","1.6","0.4%"
"93","C.J. Prosise (TB)","23","72","3.1","17","0","1","10","12","76","7.6","0","1","9","23.8","2.6","0.1%"
"94","T.J. Yeldon (FA)","17","63","3.7","12","0","0","13","15","124","9.5","0","1","6","23.2","3.9","0.0%"
"95","Travis Homer (SEA)","18","114","6.3","29","1","0","11","13","56","5.1","0","0","16","22.5","1.4","0.5%"
"96","Darrell Henderson (LAR)","39","147","3.8","22","1","0","4","6","37","9.3","0","0","13","20.4","1.6","76.2%"
"97","Wendell Smallwood (FA)","22","81","3.7","17","0","0","9","13","64","7.1","0","0","15","19.0","1.3","0.0%"
"98","Trey Edmunds (PIT)","22","92","4.2","45","1","0","6","7","48","8.0","0","0","12","17.0","1.4","0.0%"
"99","Wes Hills (FA)","10","21","2.1","15","0","2","2","2","1","0.5","0","0","1","15.2","15.2","0.1%"
"100","Alec Ingold (LV)","10","17","1.7","4","0","0","6","6","44","7.3","1","0","16","15.1","0.9","0.1%"
"101","Darren Sproles (FA)","17","66","3.9","17","0","0","6","10","24","4.0","0","0","6","14.0","2.3","0.1%"
"102","Kerrith Whyte Jr. (FA)","24","122","5.1","21","1","0","1","1","9","9.0","0","0","6","13.6","2.3","0.0%"
"103","Danny Vitale (FA)","1","3","3.0","3","0","0","7","12","97","13.9","0","0","15","13.5","0.9","0.0%"
"104","Andy Janovich (CLE)","1","1","1.0","1","0","1","5","5","42","8.4","0","0","8","12.8","1.6","0.1%"
"105","D'Ernest Johnson (CLE)","4","21","5.3","13","0","0","6","7","71","11.8","0","0","16","12.2","0.8","0.6%"
"106","Kenjon Barner (FA)","4","28","7.0","12","0","0","6","8","22","3.7","0","1","14","12.1","0.9","0.0%"
"107","Derek Watt (PIT)","7","10","1.4","3","0","1","3","5","32","10.7","0","0","16","11.7","0.7","0.1%"
"108","Javorius Allen (FA)","10","36","3.6","19","0","1","1","2","9","9.0","0","0","11","11.0","1.0","0.1%"
"109","Spencer Ware (FA)","17","51","3.0","6","0","0","5","7","22","4.4","0","0","3","9.8","3.3","0.0%"
"110","Devontae Booker (NYG)","2","9","4.5","5","0","0","6","9","57","9.5","0","0","16","9.6","0.6","4.8%"
"111","Marshawn Lynch (FA)","12","34","2.8","15","0","1","0","0","0","0","0","0","2","9.4","4.7","0.3%"
"112","Alex Armah (NO)","6","11","1.8","4","0","1","2","2","6","3.0","0","0","16","8.7","0.5","0.0%"
"113","Zach Line (FA)","7","20","2.9","5","0","0","6","10","36","6.0","0","0","12","8.6","0.7","0.0%"
"114","Tra Carson (FA)","18","48","2.7","12","0","0","4","4","18","4.5","0","0","4","8.6","2.2","0.0%"
"115","Mike Davis (ATL)","13","27","2.1","8","0","0","7","8","22","3.1","0","0","12","8.4","0.7","88.1%"
"116","Troymaine Pope (TB)","10","20","2.0","8","0","0","2","3","14","7.0","1","1","14","8.4","0.6","0.0%"
"117","Khari Blasingame (TEN)","0","0","0","0","0","0","4","5","54","13.5","0","0","6","7.4","1.2","0.0%"
"118","Patrick DiMarco (FA)","3","7","2.3","4","0","0","5","7","41","8.2","0","0","16","7.3","0.5","0.0%"
"119","Dwayne Washington (NO)","8","60","7.5","31","1","0","1","1","6","6.0","0","0","16","7.1","0.4","0.0%"
"120","Jon Hilliman (FA)","30","91","3.0","10","0","0","3","4","1","0.3","0","2","3","6.7","2.2","0.1%"
"121","Devine Ozigbo (JAC)","9","27","3.0","9","0","0","3","5","23","7.7","0","0","10","6.5","0.7","0.1%"
"122","Elijhaa Penny (NYG)","15","39","2.6","6","0","0","2","4","9","4.5","0","0","16","5.8","0.4","0.1%"
"123","Taiwan Jones (BUF)","9","40","4.4","11","0","0","1","1","9","9.0","0","0","11","5.4","0.5","0.1%"
"124","C.J. Anderson (FA)","16","43","2.7","9","0","0","0","0","0","0","0","0","2","4.3","2.2","0.0%"
"125","Paul Perkins (FA)","12","29","2.4","13","0","0","1","1","9","9.0","0","0","4","4.3","1.1","0.0%"
"126","Anthony Sherman (FA)","4","9","2.3","5","0","0","2","3","22","11.0","0","0","16","4.1","0.3","0.0%"
"127","Nick Bawden (FA)","0","0","0","0","0","0","4","6","17","4.3","0","0","10","3.7","0.4","0.0%"
"128","T.J. Logan (FA)","3","10","3.3","6","0","0","2","3","13","6.5","0","0","12","3.3","0.3","0.0%"
"129","Tyler Ervin (FA)","1","10","10.0","10","0","0","2","4","11","5.5","0","0","10","3.1","0.3","0.0%"
"130","Jay Ajayi (FA)","10","30","3.0","11","0","0","0","1","0","0","0","0","4","3.0","0.8","0.0%"
"131","Zach Zenner (FA)","3","-2","-0.7","1","0","0","2","3","19","9.5","0","0","6","2.7","0.5","0.0%"
"132","Dalyn Dawkins (DET)","11","26","2.4","14","0","0","0","1","0","0","0","0","2","2.6","1.3","0.1%"
"133","Keith Smith (ATL)","5","8","1.6","3","0","0","1","4","13","13.0","0","0","16","2.6","0.2","0.0%"
"134","Samaje Perine (CIN)","5","16","3.2","9","0","0","0","0","0","0","0","0","7","1.6","0.2","1.7%"
"135","Roosevelt Nix (FA)","0","0","0","0","0","0","2","3","4","2.0","0","0","3","1.4","0.5","0.0%"
"136","Ricky Ortiz (FA)","0","0","0","0","0","0","1","1","8","8.0","0","0","2","1.3","0.7","0.0%"
"137","Josh Adams (NYJ)","8","12","1.5","10","0","0","0","0","0","0","0","0","3","1.2","0.4","0.1%"
"138","Damien Harris (NE)","4","12","3.0","13","0","0","0","0","0","0","0","0","2","1.2","0.6","70.8%"
"139","Dexter Williams (GB)","5","11","2.2","5","0","0","0","0","0","0","0","0","4","1.1","0.3","0.2%"
"140","Buddy Howell (HOU)","5","10","2.0","4","0","0","0","0","0","0","0","0","16","1.0","0.1","0.0%"
"141","Jakob Johnson (NE)","0","0","0","0","0","0","1","2","5","5.0","0","0","4","1.0","0.3","0.0%"
"142","John Kelly (CLE)","3","9","3.0","6","0","0","0","0","0","0","0","0","5","0.9","0.2","0.0%"
"143","Josh Ferguson (FA)","3","9","3.0","7","0","0","0","0","0","0","0","0","2","0.9","0.5","0.0%"
"144","Jordan Scarlett (MIA)","4","9","2.3","6","0","0","0","0","0","0","0","0","9","0.9","0.1","0.0%"
"145","Senorise Perry (FA)","3","3","1.0","6","0","0","1","1","1","1.0","0","0","11","0.9","0.1","0.0%"
"146","Ryan Nall (CHI)","2","8","4.0","7","0","0","0","0","0","0","0","0","8","0.8","0.1","0.1%"
"147","Tony Brooks-James (PIT)","8","7","0.9","8","0","0","0","0","0","0","0","0","3","0.7","0.2","0.0%"
"148","De'Lance Turner (FA)","4","6","1.5","5","0","0","0","0","0","0","0","0","9","0.6","0.1","0.1%"
"149","Alfred Morris (NYG)","1","4","4.0","4","0","0","0","0","0","0","0","0","1","0.4","0.4","0.0%"
"150","James Develin (FA)","2","3","1.5","2","0","0","0","0","0","0","0","0","2","0.3","0.2","0.0%"
"151","Reggie Gilliam (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"152","Mikey Daniel (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"153","Jonathan Ward (ARI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"154","Malcolm Perry (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"155","Chuba Hubbard (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7.6%"
"156","Antonio Williams (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"157","Cameron Scarlett (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"158","DeeJay Dallas (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.7%"
"159","Larry Rountree III (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.8%"
"160","Patrick Taylor Jr. (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"161","Artavis Pierce (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"162","Scottie Phillips (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"163","Raymond Calais (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.4%"
"164","Antonio Gibson (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","98.5%"
"165","JaMycal Hasty (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.2%"
"166","James Robinson (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","91.1%"
"167","Ty'Son Williams (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"168","Rico Dowdle (DAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"169","Jason Huntley (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"170","Sewo Olonilua (DAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"171","Sandro Platzgummer (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"172","Trey Ragas (LV)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"173","Lavon Coleman (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0",""
"174","Jaret Patterson (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"175","Nathan Cottrell (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"176","Gabe Nabers (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"177","Jake Bargas (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"178","Josh Hokit (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"179","Jermar Jefferson (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.6%"
"180","Pooka Williams Jr. (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"181","Xavier Jones (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3.4%"
"182","Trenton Cannon (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","4","0.0","0.0","0.0%"
"183","Deon Jackson (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"184","Demetric Felton (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.2%"
"185","Mekhi Sargent (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"186","Adrian Killins Jr. (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"187","Benny LeMay (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"188","Isaac Nauta (GB)","0","0","0","0","0","0","2","3","13","6.5","0","0","6","0.0","0.0","0.0%"
"189","Trayveon Williams (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","11","0.0","0.0","0.6%"
"190","Damarea Crockett (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"191","Mike Weber (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"192","Christian Wade (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"193","Chandler Cox (FA)","0","0","0","0","0","0","0","0","0","0","0","0","13","0.0","0.0","0.0%"
"194","Cullen Gillaspia (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","16","0.0","0.0","0.0%"
"195","Andrew Beck (DEN)","1","3","3.0","3","0","0","9","12","90","10.0","1","0","16","0.0","0.0","0.0%"
"196","Elijah Holyfield (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"197","Jacques Patrick (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"198","Johnny Stanton (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"199","Aca'Cedric Ware (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"200","Darius Bradwell (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"201","Ke'Shawn Vaughn (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.1%"
"202","AJ Dillon (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","54.1%"
"203","Eno Benjamin (ARI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.7%"
"204","Anthony McFarland Jr. (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"205","Detrez Newsome (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"206","Caleb Huntley (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"207","Michael Warren II (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"208","LeVante Bellamy (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"209","Darrynton Evans (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6.2%"
"210","Trey Sermon (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","50.0%"
"211","Tavien Feaster (ARI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"212","J.J. Taylor (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.2%"
"213","Joshua Kelley (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2.2%"
"214","Salvon Ahmed (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3.9%"
"215","Darius Anderson (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"216","Rodney Smith (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.2%"
"217","Tony Jones Jr. (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"218","Jordan Chunn (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"219","La'Mical Perine (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.7%"
"220","Austin Walter (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"221","Craig Reynolds (FA)","0","0","0","0","0","0","0","0","0","0","0","0","3","0.0","0.0","0.0%"
"222","Clyde Edwards-Helaire (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","97.9%"
"223","Derrick Gore (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"224","D'Andre Swift (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","98.0%"
"225","Jonathan Taylor (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","99.6%"
"226","Travis Etienne (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","89.0%"
"227","J.K. Dobbins (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","96.9%"
"228","Zack Moss (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","51.9%"
"229","Cam Akers (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","52.0%"
"230","Donnie Ernsberger (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"231","Najee Harris (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","97.1%"
"232","Kylin Hill (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.4%"
"233","CJ Marable (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"234","Stevie Scott III (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"235","Elijah Mitchell (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.8%"
"236","Chris Evans (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.6%"
"237","Khalil Herbert (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.6%"
"238","Javian Hawkins (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.9%"
"239","Javonte Williams (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","78.3%"
"240","Michael Carter (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","57.3%"
"241","Rhamondre Stevenson (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2.2%"
"242","Jake Funk (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.7%"
