Rank,Player,ATT,YDS,Y/A,LG,20+,TD,REC,TGT,YDS,Y/R,TD,FL,G,FPTS,FPTS/G,OWN
58,Kyle Juszczyk (SF),17,64,3.8,10,0,2,19,29,202,10.6,4,0,16,72.1,4.5,1.10%
59,Sony Michel (NE),79,449,5.7,48,0,1,7,9,114,16.3,1,0,9,71.8,8,7.40%
60,Duke Johnson Jr. (FA),77,235,3.1,23,0,1,28,35,249,8.9,1,2,11,70.4,6.4,1.60%
61,Benny Snell Jr. (PIT),111,368,3.3,30,0,4,10,14,61,6.1,0,1,16,69.9,4.4,3.20%
62,Joshua Kelley (LAC),111,354,3.2,33,0,2,23,23,148,6.4,0,2,14,69.7,5,2.20%
63,Le'Veon Bell (FA),82,328,4,16,0,2,16,20,138,8.6,0,0,11,66.6,6.1,2.10%
64,Salvon Ahmed (MIA),75,319,4.3,31,0,3,11,14,61,5.5,0,0,6,63.5,10.6,3.90%
65,Phillip Lindsay (HOU),118,502,4.3,55,0,1,7,14,28,4,0,0,11,62.5,5.7,15.00%
66,Kerryon Johnson (PHI),52,181,3.5,14,0,2,19,26,187,9.8,1,1,16,62.3,3.9,1.70%
67,Samaje Perine (CIN),63,301,4.8,46,0,3,11,12,66,6,0,0,16,60.2,3.8,1.70%
68,Justin Jackson (LAC),59,270,4.6,36,0,0,19,24,173,9.1,0,0,9,55.8,6.2,3.00%
69,Ty Johnson (NYJ),54,254,4.7,34,0,1,16,21,99,6.2,1,0,13,55.3,4.3,2.40%
70,Jordan Wilkins (IND),84,308,3.7,22,0,1,12,16,105,8.8,0,0,15,55.3,3.7,0.20%
71,Peyton Barber (WAS),94,258,2.7,15,0,4,4,7,12,3,0,0,16,53,3.3,0.70%
72,Mark Ingram II (HOU),72,299,4.2,30,0,2,6,8,50,8.3,0,0,11,49.9,4.5,2.80%
73,Ito Smith (FA),63,268,4.3,24,0,1,17,26,75,4.4,0,0,14,48.8,3.5,0.50%
74,DeeJay Dallas (SEA),34,108,3.2,13,0,2,17,20,111,6.5,1,0,12,48.4,4,1.70%
75,Dion Lewis (FA),29,115,4,19,0,2,19,30,127,6.7,1,2,16,47.7,3,0.10%
76,La'Mical Perine (NYJ),64,232,3.6,20,0,2,11,15,63,5.7,0,0,10,47,4.7,1.70%
77,Darrel Williams (KC),39,169,4.3,13,0,1,18,26,116,6.4,0,0,16,45.5,2.8,10.50%
78,Jalen Richard (LV),22,123,5.6,20,0,1,19,23,138,7.3,0,0,13,41.6,3.2,0.50%
79,AJ Dillon (GB),46,242,5.3,30,0,2,2,2,21,10.5,0,0,11,39.3,3.6,54.10%
80,Alfred Morris (NYG),55,238,4.3,20,0,1,3,4,19,6.3,1,0,9,39.2,4.4,0.00%
81,Jeremy McNichols (TEN),47,204,4.3,20,0,1,12,17,55,4.6,0,0,16,37.9,2.4,0.60%
82,Matt Breida (BUF),59,254,4.3,24,0,0,9,10,96,10.7,0,1,12,37.5,3.1,0.80%
83,Josh Adams (NYJ),29,157,5.4,25,0,2,6,8,29,4.8,0,0,8,33.6,4.2,0.10%
84,Chris Thompson (FA),7,20,2.9,5,0,0,20,23,146,7.3,1,0,8,32.6,4.1,0.10%
85,Devonta Freeman (NO),54,172,3.2,14,0,1,7,10,58,8.3,0,0,5,32.5,6.5,0.50%
86,Rodney Smith (CAR),41,156,3.8,13,0,1,9,11,59,6.6,0,0,7,32,4.6,0.20%
87,Royce Freeman (DEN),35,170,4.9,23,0,0,12,13,81,6.8,0,0,16,31.1,1.9,0.30%
88,Jordan Howard (PHI),35,60,1.7,11,0,4,1,1,-3,-3,0,0,7,30.2,4.3,0.30%
89,Darwin Thompson (KC),27,97,3.6,14,0,1,7,11,65,9.3,1,1,13,29.7,2.3,0.20%
90,Travis Homer (SEA),25,88,3.5,12,0,0,9,10,90,10,1,0,9,28.3,3.1,0.50%
91,JaMycal Hasty (SF),39,148,3.8,20,0,1,7,8,33,4.7,0,0,8,27.6,3.5,0.20%
92,Ameer Abdullah (MIN),8,42,5.3,13,0,0,8,9,58,7.3,2,0,16,26,1.6,0.60%
93,Dare Ogunbowale (JAC),32,145,4.5,25,0,0,10,20,54,5.4,0,0,14,24.9,1.8,0.10%
94,Alec Ingold (LV),3,4,1.3,3,0,0,12,17,110,9.2,1,0,16,23.4,1.5,0.10%
95,C.J. Ham (MIN),5,18,3.6,10,0,0,8,14,97,12.1,1,0,15,21.5,1.4,0.10%
96,Antonio Williams (BUF),12,63,5.3,18,0,2,1,1,20,20,0,0,1,20.8,20.8,0.10%
97,Ke'Shawn Vaughn (TB),26,109,4.2,19,0,0,5,10,34,6.8,1,1,10,20.8,2.1,1.10%
98,LeSean McCoy (FA),10,31,3.1,14,0,0,15,19,101,6.7,0,0,10,20.7,2.1,0.10%
99,Alex Collins (SEA),18,77,4.3,13,0,2,1,2,4,4,0,0,3,20.6,6.9,0.10%
100,Tyler Ervin (FA),13,67,5.2,21,0,0,11,15,84,7.6,0,0,8,20.6,2.6,0.00%
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
